Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-5.06615278728084E-07,-3.46944695195361E-18,0.0604792465469802,0,0,0,0.334381068135171,0.000492338774047956,-2.0035866151709E-21,2.26166332212738E-09,0.000492549348111621,3.48956494786016E-20,0.000148045787365271,0,0,0,0,0,0,package://單手URDF_第二張圖_第一版20250921.SLDASM/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://單手URDF_第二張圖_第一版20250921.SLDASM/meshes/base_link.STL,,link1自製-1,座標系統1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,7.44128925145304E-11,-6.57030969083462E-06,0.0321349062357039,0,0,0,0.363631823151922,0.000502441329650863,-2.38693406889966E-14,-3.3802825111193E-11,0.000165412153636069,2.2667977656779E-09,0.000507252349423078,0,0,0,0,0,0,package://單手URDF_第二張圖_第一版20250921.SLDASM/meshes/link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://單手URDF_第二張圖_第一版20250921.SLDASM/meshes/link1.STL,,link2自製-1,座標系統2,Axis_joint1,joint1,continuous,0,0,0.126,0,0,0,base_link,0,0,1,,,,,,,,,,,,
link2,0.214880642933238,0.0189259976187202,0.000901646052094307,0,0,0,0.45366192554559,0.000507114068864212,7.29623910583873E-06,-3.32939724818111E-07,0.000630824343069824,-3.92223880007263E-07,0.000393325605019287,0,0,0,0,0,0,package://單手URDF_第二張圖_第一版20250921.SLDASM/meshes/link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://單手URDF_第二張圖_第一版20250921.SLDASM/meshes/link2.STL,,link3自製-1,座標系統3,Axis_joint2,joint2,continuous,0,0,0.033,-1.5708,0,0,link1,0,0,1,,,,,,,,,,,,
link3,0.0285257952328756,0.125020591472314,-3.63057162399566E-07,0,0,0,0.466600235297101,0.000619436160616319,-4.77836920220214E-06,-3.86476136033846E-12,0.000307258066731992,7.28995094763861E-10,0.000586669924778159,0,0,0,0,0,0,package://單手URDF_第二張圖_第一版20250921.SLDASM/meshes/link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://單手URDF_第二張圖_第一版20250921.SLDASM/meshes/link3.STL,,link4自製-1,座標系統4,Axis_joint3,joint3,continuous,0.264,0.029998,0,0,0,0,link2,0,0,1,,,,,,,,,,,,
link4,4.63912433792957E-06,0.00151980808588198,0.0510145647858843,0,0,0,0.195613241160615,0.000102554778041048,-1.08802111513311E-08,1.24469202676233E-08,5.18337749764503E-05,-1.30847807728093E-08,0.000105562682742727,0,0,0,0,0,0,package://單手URDF_第二張圖_第一版20250921.SLDASM/meshes/link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://單手URDF_第二張圖_第一版20250921.SLDASM/meshes/link4.STL,,link5自製-1,座標系統5,Axis_joint4,joint4,continuous,0.028934,0.20116,0,-1.5708,0,0.0053014,link3,0,0,1,,,,,,,,,,,,
link5,-6.08597061635407E-11,0.0691724928052869,0.000628722968089688,0,0,0,0.161969401291404,0.00010556180300414,-5.47442899524611E-15,2.8531342145449E-13,5.63327162643424E-05,-2.05656010249326E-08,9.71327301603377E-05,0,0,0,0,0,0,package://單手URDF_第二張圖_第一版20250921.SLDASM/meshes/link5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://單手URDF_第二張圖_第一版20250921.SLDASM/meshes/link5.STL,,link6自製-1,座標系統6,Axis_joint5,joint5,continuous,0,0,0.063,1.5708,0,0,link4,0,0,1,,,,,,,,,,,,
link6,8.07188965578076E-05,1.35845320409222E-09,0.0426329304323422,0,0,0,0.23784515467363,0.000132525577055939,-2.90016361858159E-10,6.5663335490115E-07,0.000101058944108378,1.02555393613612E-09,0.00013873172572447,0,0,0,0,0,0,package://單手URDF_第二張圖_第一版20250921.SLDASM/meshes/link6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://單手URDF_第二張圖_第一版20250921.SLDASM/meshes/link6.STL,,link7_夾爪-1,座標系統7,Axis_joint6,joint6,continuous,0,0.123,0,-1.5708,0,0,link5,0,0,1,,,,,,,,,,,,
